treatment	chems	SACRIFICE_PERIOD	DOSE_LEVEL	SIN_REP_TYPE	Out
Liver_galactosamine_High_6hr_Single	galactosamine	6 hr	High	Single	Cellular.infiltration
Liver_galactosamine_High_6hr_Single	galactosamine	6 hr	High	Single	Degeneration
Liver_galactosamine_Low_6hr_Single	galactosamine	6 hr	Low	Single	Single.cell.necrosis
Liver_galactosamine_Low_6hr_Single	galactosamine	6 hr	Low	Single	Degeneration
Liver_galactosamine_Middle_24hr_Single	galactosamine	24 hr	Middle	Single	Single.cell.necrosis
Liver_galactosamine_Middle_24hr_Single	galactosamine	24 hr	Middle	Single	Cellular.infiltration
Liver_galactosamine_Middle_24hr_Single	galactosamine	24 hr	Middle	Single	Degeneration
Liver_galactosamine_Middle_6hr_Single	galactosamine	6 hr	Middle	Single	Single.cell.necrosis
Liver_galactosamine_Middle_6hr_Single	galactosamine	6 hr	Middle	Single	Cellular.infiltration
Liver_galactosamine_Middle_6hr_Single	galactosamine	6 hr	Middle	Single	Degeneration
Liver_gefitinib_High_24hr_Single	gefitinib	24 hr	High	Single	Single.cell.necrosis
Liver_gefitinib_High_24hr_Single	gefitinib	24 hr	High	Single	Lesion.NOS
Liver_gefitinib_High_3hr_Single	gefitinib	3 hr	High	Single	Single.cell.necrosis
Liver_gefitinib_High_6hr_Single	gefitinib	6 hr	High	Single	Single.cell.necrosis
Liver_gefitinib_High_9hr_Single	gefitinib	9 hr	High	Single	Single.cell.necrosis
Liver_gefitinib_Low_24hr_Single	gefitinib	24 hr	Low	Single	Lesion.NOS
Liver_gefitinib_Middle_24hr_Single	gefitinib	24 hr	Middle	Single	Single.cell.necrosis
Liver_gefitinib_Middle_24hr_Single	gefitinib	24 hr	Middle	Single	Lesion.NOS
Liver_gefitinib_Middle_9hr_Single	gefitinib	9 hr	Middle	Single	Single.cell.necrosis
Liver_gemfibrozil_High_15day_Repeat	gemfibrozil	15 day	High	Repeat	Degeneration..granular..eosinophilic
Liver_gemfibrozil_High_24hr_Single	gemfibrozil	24 hr	High	Single	Increased.mitosis
Liver_gemfibrozil_High_29day_Repeat	gemfibrozil	29 day	High	Repeat	Degeneration..granular..eosinophilic
Liver_gemfibrozil_High_4day_Repeat	gemfibrozil	4 day	High	Repeat	Increased.mitosis
Liver_gemfibrozil_High_8day_Repeat	gemfibrozil	8 day	High	Repeat	Degeneration..granular..eosinophilic
Liver_gemfibrozil_Low_29day_Repeat	gemfibrozil	29 day	Low	Repeat	Degeneration..granular..eosinophilic
Liver_gemfibrozil_Low_4day_Repeat	gemfibrozil	4 day	Low	Repeat	Increased.mitosis
Liver_gemfibrozil_Middle_15day_Repeat	gemfibrozil	15 day	Middle	Repeat	Degeneration..granular..eosinophilic
Liver_gemfibrozil_Middle_29day_Repeat	gemfibrozil	29 day	Middle	Repeat	Degeneration..granular..eosinophilic
Liver_gemfibrozil_Middle_4day_Repeat	gemfibrozil	4 day	Middle	Repeat	Increased.mitosis
Liver_griseofulvin_High_24hr_Single	griseofulvin	24 hr	High	Single	Increased.mitosis
Liver_griseofulvin_High_4day_Repeat	griseofulvin	4 day	High	Repeat	Increased.mitosis
Liver_griseofulvin_Middle_24hr_Single	griseofulvin	24 hr	Middle	Single	Increased.mitosis
Liver_griseofulvin_Middle_4day_Repeat	griseofulvin	4 day	Middle	Repeat	Increased.mitosis
Liver_hexachlorobenzene_High_15day_Repeat	hexachlorobenzene	15 day	High	Repeat	Hypertrophy
Liver_hexachlorobenzene_High_15day_Repeat	hexachlorobenzene	15 day	High	Repeat	Ground.glass.appearance
Liver_hexachlorobenzene_High_15day_Repeat	hexachlorobenzene	15 day	High	Repeat	Vacuolization..cytoplasmic
Liver_hexachlorobenzene_High_29day_Repeat	hexachlorobenzene	29 day	High	Repeat	Hypertrophy
Liver_hexachlorobenzene_High_29day_Repeat	hexachlorobenzene	29 day	High	Repeat	Ground.glass.appearance
Liver_hexachlorobenzene_High_29day_Repeat	hexachlorobenzene	29 day	High	Repeat	Vacuolization..cytoplasmic
Liver_hexachlorobenzene_High_4day_Repeat	hexachlorobenzene	4 day	High	Repeat	Increased.mitosis
Liver_hexachlorobenzene_High_8day_Repeat	hexachlorobenzene	8 day	High	Repeat	Increased.mitosis
Liver_hexachlorobenzene_High_8day_Repeat	hexachlorobenzene	8 day	High	Repeat	Hypertrophy
Liver_hexachlorobenzene_High_8day_Repeat	hexachlorobenzene	8 day	High	Repeat	Ground.glass.appearance
Liver_hexachlorobenzene_Low_15day_Repeat	hexachlorobenzene	15 day	Low	Repeat	Hypertrophy
Liver_hexachlorobenzene_Low_15day_Repeat	hexachlorobenzene	15 day	Low	Repeat	Ground.glass.appearance
Liver_hexachlorobenzene_Low_29day_Repeat	hexachlorobenzene	29 day	Low	Repeat	Hypertrophy
Liver_hexachlorobenzene_Low_29day_Repeat	hexachlorobenzene	29 day	Low	Repeat	Ground.glass.appearance
Liver_hexachlorobenzene_Middle_15day_Repeat	hexachlorobenzene	15 day	Middle	Repeat	Hypertrophy
Liver_hexachlorobenzene_Middle_15day_Repeat	hexachlorobenzene	15 day	Middle	Repeat	Ground.glass.appearance
Liver_hexachlorobenzene_Middle_15day_Repeat	hexachlorobenzene	15 day	Middle	Repeat	Vacuolization..cytoplasmic
Liver_hexachlorobenzene_Middle_29day_Repeat	hexachlorobenzene	29 day	Middle	Repeat	Hypertrophy
Liver_hexachlorobenzene_Middle_29day_Repeat	hexachlorobenzene	29 day	Middle	Repeat	Ground.glass.appearance
Liver_hexachlorobenzene_Middle_8day_Repeat	hexachlorobenzene	8 day	Middle	Repeat	Ground.glass.appearance
Liver_hydroxyzine_High_15day_Repeat	hydroxyzine	15 day	High	Repeat	Hypertrophy
Liver_hydroxyzine_High_15day_Repeat	hydroxyzine	15 day	High	Repeat	Vacuolization..cytoplasmic
Liver_hydroxyzine_High_29day_Repeat	hydroxyzine	29 day	High	Repeat	Hypertrophy
Liver_hydroxyzine_High_29day_Repeat	hydroxyzine	29 day	High	Repeat	Vacuolization..cytoplasmic
Liver_hydroxyzine_High_4day_Repeat	hydroxyzine	4 day	High	Repeat	Hypertrophy
Liver_hydroxyzine_High_8day_Repeat	hydroxyzine	8 day	High	Repeat	Hypertrophy
Liver_hydroxyzine_Middle_15day_Repeat	hydroxyzine	15 day	Middle	Repeat	Hypertrophy
Liver_hydroxyzine_Middle_29day_Repeat	hydroxyzine	29 day	Middle	Repeat	Hypertrophy
Liver_ibuprofen_High_15day_Repeat	ibuprofen	15 day	High	Repeat	Hematopoiesis..extramedullary
Liver_ibuprofen_High_24hr_Single	ibuprofen	24 hr	High	Single	Increased.mitosis
Liver_ibuprofen_High_29day_Repeat	ibuprofen	29 day	High	Repeat	Hematopoiesis..extramedullary
Liver_ibuprofen_High_8day_Repeat	ibuprofen	8 day	High	Repeat	Hematopoiesis..extramedullary
Liver_ibuprofen_Middle_24hr_Single	ibuprofen	24 hr	Middle	Single	Increased.mitosis
Liver_imatinib_methanesulfonate_salt_High_24hr_Single	imatinib,_methanesulfonate_salt	24 hr	High	Single	Lesion.NOS
Liver_imatinib_methanesulfonate_salt_Middle_24hr_Single	imatinib,_methanesulfonate_salt	24 hr	Middle	Single	Lesion.NOS
Liver_imipramine_High_15day_Repeat	imipramine	15 day	High	Repeat	Hypertrophy
Liver_imipramine_High_15day_Repeat	imipramine	15 day	High	Repeat	Vacuolization..cytoplasmic
Liver_imipramine_High_29day_Repeat	imipramine	29 day	High	Repeat	Hypertrophy
Liver_imipramine_High_29day_Repeat	imipramine	29 day	High	Repeat	Vacuolization..cytoplasmic
Liver_imipramine_High_4day_Repeat	imipramine	4 day	High	Repeat	Hypertrophy
Liver_imipramine_High_8day_Repeat	imipramine	8 day	High	Repeat	Hypertrophy
Liver_imipramine_High_8day_Repeat	imipramine	8 day	High	Repeat	Vacuolization..cytoplasmic
Liver_imipramine_Middle_29day_Repeat	imipramine	29 day	Middle	Repeat	Hypertrophy
Liver_indomethacin_High_15day_Repeat	indomethacin	15 day	High	Repeat	DEAD
Liver_indomethacin_High_15day_Repeat	indomethacin	15 day	High	Repeat	Change..basophilic
Liver_indomethacin_High_15day_Repeat	indomethacin	15 day	High	Repeat	Inflammation..suppurative
Liver_indomethacin_High_8day_Repeat	indomethacin	8 day	High	Repeat	Change..basophilic
Liver_indomethacin_High_8day_Repeat	indomethacin	8 day	High	Repeat	Inflammation..suppurative
Liver_indomethacin_Low_9hr_Single	indomethacin	9 hr	Low	Single	Necrosis
Liver_iproniazid_High_15day_Repeat	iproniazid	15 day	High	Repeat	Deposit..pigment
Liver_iproniazid_High_15day_Repeat	iproniazid	15 day	High	Repeat	Hematopoiesis..extramedullary
Liver_iproniazid_High_15day_Repeat	iproniazid	15 day	High	Repeat	Phagocytosis
Liver_iproniazid_High_29day_Repeat	iproniazid	29 day	High	Repeat	Deposit..pigment
Liver_iproniazid_High_29day_Repeat	iproniazid	29 day	High	Repeat	Hematopoiesis..extramedullary
Liver_iproniazid_High_29day_Repeat	iproniazid	29 day	High	Repeat	Phagocytosis
Liver_iproniazid_Middle_29day_Repeat	iproniazid	29 day	Middle	Repeat	Deposit..pigment
Liver_isoniazid_High_24hr_Single	isoniazid	24 hr	High	Single	Swelling
Liver_isoniazid_High_29day_Repeat	isoniazid	29 day	High	Repeat	Hypertrophy
Liver_isoniazid_High_29day_Repeat	isoniazid	29 day	High	Repeat	Ground.glass.appearance
Liver_isoniazid_High_6hr_Single	isoniazid	6 hr	High	Single	Swelling
Liver_isoniazid_High_9hr_Single	isoniazid	9 hr	High	Single	Swelling
Liver_isoniazid_Middle_24hr_Single	isoniazid	24 hr	Middle	Single	Swelling
Liver_ketoconazole_High_15day_Repeat	ketoconazole	15 day	High	Repeat	Hypertrophy
Liver_ketoconazole_High_15day_Repeat	ketoconazole	15 day	High	Repeat	Vacuolization..cytoplasmic
Liver_ketoconazole_High_24hr_Single	ketoconazole	24 hr	High	Single	Increased.mitosis
Liver_ketoconazole_High_29day_Repeat	ketoconazole	29 day	High	Repeat	Hypertrophy
Liver_ketoconazole_High_29day_Repeat	ketoconazole	29 day	High	Repeat	Vacuolization..cytoplasmic
Liver_ketoconazole_High_4day_Repeat	ketoconazole	4 day	High	Repeat	Vacuolization..cytoplasmic
Liver_ketoconazole_High_8day_Repeat	ketoconazole	8 day	High	Repeat	Vacuolization..cytoplasmic
Liver_ketoconazole_Middle_29day_Repeat	ketoconazole	29 day	Middle	Repeat	Hypertrophy
Liver_ketoconazole_Middle_29day_Repeat	ketoconazole	29 day	Middle	Repeat	Vacuolization..cytoplasmic
Liver_lomustine_High_15day_Repeat	lomustine	15 day	High	Repeat	Cellular.infiltration..mononuclear.cell
Liver_lomustine_High_15day_Repeat	lomustine	15 day	High	Repeat	Single.cell.necrosis
Liver_lomustine_High_15day_Repeat	lomustine	15 day	High	Repeat	Proliferation..Kupffer.cell
Liver_lomustine_High_15day_Repeat	lomustine	15 day	High	Repeat	Degeneration..granular..eosinophilic
Liver_lomustine_High_29day_Repeat	lomustine	29 day	High	Repeat	Necrosis
Liver_lomustine_High_29day_Repeat	lomustine	29 day	High	Repeat	Cellular.infiltration..mononuclear.cell
Liver_lomustine_High_29day_Repeat	lomustine	29 day	High	Repeat	Single.cell.necrosis
Liver_lomustine_High_29day_Repeat	lomustine	29 day	High	Repeat	Fibrosis
Liver_lomustine_High_29day_Repeat	lomustine	29 day	High	Repeat	Deposit..pigment
Liver_lomustine_High_29day_Repeat	lomustine	29 day	High	Repeat	Hypertrophy
Liver_lomustine_High_29day_Repeat	lomustine	29 day	High	Repeat	Proliferation..bile.duct
Liver_lomustine_High_29day_Repeat	lomustine	29 day	High	Repeat	Proliferation..Kupffer.cell
Liver_lomustine_High_29day_Repeat	lomustine	29 day	High	Repeat	Degeneration..granular..eosinophilic
Liver_lomustine_High_8day_Repeat	lomustine	8 day	High	Repeat	Cellular.infiltration..mononuclear.cell
Liver_lomustine_High_8day_Repeat	lomustine	8 day	High	Repeat	Proliferation..bile.duct
Liver_lomustine_Middle_8day_Repeat	lomustine	8 day	Middle	Repeat	Cellular.infiltration..mononuclear.cell
Liver_lomustine_Middle_8day_Repeat	lomustine	8 day	Middle	Repeat	Proliferation..bile.duct
Liver_lornoxicam_High_15day_Repeat	lornoxicam	15 day	High	Repeat	DEAD
Liver_LPS_High_24hr_Single	LPS	24 hr	High	Single	Necrosis
Liver_LPS_High_24hr_Single	LPS	24 hr	High	Single	Edema
Liver_LPS_High_6hr_Single	LPS	6 hr	High	Single	Necrosis
Liver_LPS_High_6hr_Single	LPS	6 hr	High	Single	Cellular.infiltration
Liver_LPS_High_6hr_Single	LPS	6 hr	High	Single	Edema
Liver_LPS_High_9hr_Single	LPS	9 hr	High	Single	Swelling
Liver_LPS_High_9hr_Single	LPS	9 hr	High	Single	Cellular.infiltration
Liver_LPS_High_9hr_Single	LPS	9 hr	High	Single	Edema
Liver_LPS_Middle_3hr_Single	LPS	3 hr	Middle	Single	Necrosis
Liver_LPS_Middle_3hr_Single	LPS	3 hr	Middle	Single	Edema
Liver_LPS_Middle_6hr_Single	LPS	6 hr	Middle	Single	Single.cell.necrosis
Liver_LPS_Middle_6hr_Single	LPS	6 hr	Middle	Single	Swelling
Liver_LPS_Middle_6hr_Single	LPS	6 hr	Middle	Single	Cellular.infiltration
Liver_LPS_Middle_6hr_Single	LPS	6 hr	Middle	Single	Edema
Liver_meloxicam_High_15day_Repeat	meloxicam	15 day	High	Repeat	DEAD
Liver_meloxicam_High_8day_Repeat	meloxicam	8 day	High	Repeat	Hematopoiesis..extramedullary
Liver_meloxicam_High_8day_Repeat	meloxicam	8 day	High	Repeat	Inflammation
Liver_metformin_High_4day_Repeat	metformin	4 day	High	Repeat	Deposit..glycogen
Liver_methapyrilene_High_15day_Repeat	methapyrilene	15 day	High	Repeat	Cellular.infiltration..mononuclear.cell
Liver_methapyrilene_High_15day_Repeat	methapyrilene	15 day	High	Repeat	Single.cell.necrosis
Liver_methapyrilene_High_15day_Repeat	methapyrilene	15 day	High	Repeat	Anisonucleosis
Liver_methapyrilene_High_15day_Repeat	methapyrilene	15 day	High	Repeat	Hypertrophy
Liver_methapyrilene_High_15day_Repeat	methapyrilene	15 day	High	Repeat	Proliferation..bile.duct
Liver_methapyrilene_High_24hr_Single	methapyrilene	24 hr	High	Single	Cellular.infiltration..mononuclear.cell
Liver_methapyrilene_High_24hr_Single	methapyrilene	24 hr	High	Single	Single.cell.necrosis
Liver_methapyrilene_High_24hr_Single	methapyrilene	24 hr	High	Single	Anisonucleosis
Liver_methapyrilene_High_24hr_Single	methapyrilene	24 hr	High	Single	Hypertrophy
Liver_methapyrilene_High_29day_Repeat	methapyrilene	29 day	High	Repeat	Cellular.infiltration..mononuclear.cell
Liver_methapyrilene_High_29day_Repeat	methapyrilene	29 day	High	Repeat	Increased.mitosis
Liver_methapyrilene_High_29day_Repeat	methapyrilene	29 day	High	Repeat	Single.cell.necrosis
Liver_methapyrilene_High_29day_Repeat	methapyrilene	29 day	High	Repeat	Anisonucleosis
Liver_methapyrilene_High_29day_Repeat	methapyrilene	29 day	High	Repeat	Deposit..pigment
Liver_methapyrilene_High_29day_Repeat	methapyrilene	29 day	High	Repeat	Hypertrophy
Liver_methapyrilene_High_29day_Repeat	methapyrilene	29 day	High	Repeat	Proliferation..bile.duct
Liver_methapyrilene_High_29day_Repeat	methapyrilene	29 day	High	Repeat	Hyperplasia
Liver_methapyrilene_High_4day_Repeat	methapyrilene	4 day	High	Repeat	Cellular.infiltration..mononuclear.cell
Liver_methapyrilene_High_4day_Repeat	methapyrilene	4 day	High	Repeat	Increased.mitosis
Liver_methapyrilene_High_4day_Repeat	methapyrilene	4 day	High	Repeat	Single.cell.necrosis
Liver_methapyrilene_High_4day_Repeat	methapyrilene	4 day	High	Repeat	Anisonucleosis
Liver_methapyrilene_High_4day_Repeat	methapyrilene	4 day	High	Repeat	Hypertrophy
Liver_methapyrilene_High_4day_Repeat	methapyrilene	4 day	High	Repeat	Proliferation..bile.duct
Liver_methapyrilene_High_6hr_Single	methapyrilene	6 hr	High	Single	Single.cell.necrosis
Liver_methapyrilene_High_6hr_Single	methapyrilene	6 hr	High	Single	Hypertrophy
Liver_methapyrilene_High_8day_Repeat	methapyrilene	8 day	High	Repeat	Cellular.infiltration..mononuclear.cell
Liver_methapyrilene_High_8day_Repeat	methapyrilene	8 day	High	Repeat	Increased.mitosis
Liver_methapyrilene_High_8day_Repeat	methapyrilene	8 day	High	Repeat	Single.cell.necrosis
Liver_methapyrilene_High_8day_Repeat	methapyrilene	8 day	High	Repeat	Anisonucleosis
Liver_methapyrilene_High_8day_Repeat	methapyrilene	8 day	High	Repeat	Hypertrophy
Liver_methapyrilene_High_8day_Repeat	methapyrilene	8 day	High	Repeat	Proliferation..bile.duct
Liver_methapyrilene_High_9hr_Single	methapyrilene	9 hr	High	Single	Cellular.infiltration..mononuclear.cell
Liver_methapyrilene_High_9hr_Single	methapyrilene	9 hr	High	Single	Single.cell.necrosis
Liver_methapyrilene_High_9hr_Single	methapyrilene	9 hr	High	Single	Hypertrophy
Liver_methapyrilene_Middle_15day_Repeat	methapyrilene	15 day	Middle	Repeat	Cellular.infiltration..mononuclear.cell
Liver_methapyrilene_Middle_15day_Repeat	methapyrilene	15 day	Middle	Repeat	Single.cell.necrosis
Liver_methapyrilene_Middle_15day_Repeat	methapyrilene	15 day	Middle	Repeat	Hypertrophy
Liver_methapyrilene_Middle_29day_Repeat	methapyrilene	29 day	Middle	Repeat	Cellular.infiltration..mononuclear.cell
Liver_methapyrilene_Middle_29day_Repeat	methapyrilene	29 day	Middle	Repeat	Increased.mitosis
Liver_methapyrilene_Middle_29day_Repeat	methapyrilene	29 day	Middle	Repeat	Single.cell.necrosis
Liver_methapyrilene_Middle_29day_Repeat	methapyrilene	29 day	Middle	Repeat	Hypertrophy
Liver_methapyrilene_Middle_4day_Repeat	methapyrilene	4 day	Middle	Repeat	Hypertrophy
Liver_methapyrilene_Middle_8day_Repeat	methapyrilene	8 day	Middle	Repeat	Hypertrophy
Liver_methimazole_High_15day_Repeat	methimazole	15 day	High	Repeat	Hypertrophy
Liver_methimazole_High_29day_Repeat	methimazole	29 day	High	Repeat	Hypertrophy
Liver_methimazole_High_8day_Repeat	methimazole	8 day	High	Repeat	Hypertrophy
Liver_methimazole_Middle_29day_Repeat	methimazole	29 day	Middle	Repeat	Hypertrophy
Liver_methylene_dianiline_High_15day_Repeat	methylene_dianiline	15 day	High	Repeat	Necrosis
Liver_methylene_dianiline_High_15day_Repeat	methylene_dianiline	15 day	High	Repeat	Single.cell.necrosis
Liver_methylene_dianiline_High_15day_Repeat	methylene_dianiline	15 day	High	Repeat	Hypertrophy
Liver_methylene_dianiline_High_15day_Repeat	methylene_dianiline	15 day	High	Repeat	Proliferation..bile.duct
Liver_methylene_dianiline_High_15day_Repeat	methylene_dianiline	15 day	High	Repeat	Cellular.infiltration
Liver_methylene_dianiline_High_15day_Repeat	methylene_dianiline	15 day	High	Repeat	Change..eosinophilic
Liver_methylene_dianiline_High_15day_Repeat	methylene_dianiline	15 day	High	Repeat	Edema
Liver_methylene_dianiline_High_24hr_Single	methylene_dianiline	24 hr	High	Single	Necrosis
Liver_methylene_dianiline_High_24hr_Single	methylene_dianiline	24 hr	High	Single	Hypertrophy
Liver_methylene_dianiline_High_24hr_Single	methylene_dianiline	24 hr	High	Single	Cellular.infiltration
Liver_methylene_dianiline_High_24hr_Single	methylene_dianiline	24 hr	High	Single	Edema
Liver_methylene_dianiline_High_24hr_Single	methylene_dianiline	24 hr	High	Single	Dilatation
Liver_methylene_dianiline_High_24hr_Single	methylene_dianiline	24 hr	High	Single	Hemorrhage
Liver_methylene_dianiline_High_29day_Repeat	methylene_dianiline	29 day	High	Repeat	Single.cell.necrosis
Liver_methylene_dianiline_High_29day_Repeat	methylene_dianiline	29 day	High	Repeat	Deposit..pigment
Liver_methylene_dianiline_High_29day_Repeat	methylene_dianiline	29 day	High	Repeat	Hypertrophy
Liver_methylene_dianiline_High_29day_Repeat	methylene_dianiline	29 day	High	Repeat	Proliferation..bile.duct
Liver_methylene_dianiline_High_29day_Repeat	methylene_dianiline	29 day	High	Repeat	Cellular.infiltration
Liver_methylene_dianiline_High_29day_Repeat	methylene_dianiline	29 day	High	Repeat	Edema
Liver_methylene_dianiline_High_3hr_Single	methylene_dianiline	3 hr	High	Single	Necrosis
Liver_methylene_dianiline_High_3hr_Single	methylene_dianiline	3 hr	High	Single	Cellular.infiltration
Liver_methylene_dianiline_High_3hr_Single	methylene_dianiline	3 hr	High	Single	Edema
Liver_methylene_dianiline_High_3hr_Single	methylene_dianiline	3 hr	High	Single	Dilatation
Liver_methylene_dianiline_High_3hr_Single	methylene_dianiline	3 hr	High	Single	Hemorrhage
Liver_methylene_dianiline_High_4day_Repeat	methylene_dianiline	4 day	High	Repeat	Necrosis
Liver_methylene_dianiline_High_4day_Repeat	methylene_dianiline	4 day	High	Repeat	Increased.mitosis
Liver_methylene_dianiline_High_4day_Repeat	methylene_dianiline	4 day	High	Repeat	Hypertrophy
Liver_methylene_dianiline_High_4day_Repeat	methylene_dianiline	4 day	High	Repeat	Proliferation..bile.duct
Liver_methylene_dianiline_High_4day_Repeat	methylene_dianiline	4 day	High	Repeat	Cellular.infiltration
Liver_methylene_dianiline_High_4day_Repeat	methylene_dianiline	4 day	High	Repeat	Change..eosinophilic
Liver_methylene_dianiline_High_4day_Repeat	methylene_dianiline	4 day	High	Repeat	Edema
Liver_methylene_dianiline_High_6hr_Single	methylene_dianiline	6 hr	High	Single	Necrosis
Liver_methylene_dianiline_High_6hr_Single	methylene_dianiline	6 hr	High	Single	Cellular.infiltration
Liver_methylene_dianiline_High_6hr_Single	methylene_dianiline	6 hr	High	Single	Edema
Liver_methylene_dianiline_High_6hr_Single	methylene_dianiline	6 hr	High	Single	Dilatation
Liver_methylene_dianiline_High_6hr_Single	methylene_dianiline	6 hr	High	Single	Hemorrhage
Liver_methylene_dianiline_High_8day_Repeat	methylene_dianiline	8 day	High	Repeat	Necrosis
Liver_methylene_dianiline_High_8day_Repeat	methylene_dianiline	8 day	High	Repeat	Hypertrophy
Liver_methylene_dianiline_High_8day_Repeat	methylene_dianiline	8 day	High	Repeat	Proliferation..bile.duct
Liver_methylene_dianiline_High_8day_Repeat	methylene_dianiline	8 day	High	Repeat	Cellular.infiltration
Liver_methylene_dianiline_High_8day_Repeat	methylene_dianiline	8 day	High	Repeat	Change..eosinophilic
Liver_methylene_dianiline_High_8day_Repeat	methylene_dianiline	8 day	High	Repeat	Edema
Liver_methylene_dianiline_High_9hr_Single	methylene_dianiline	9 hr	High	Single	Necrosis
Liver_methylene_dianiline_High_9hr_Single	methylene_dianiline	9 hr	High	Single	Cellular.infiltration
Liver_methylene_dianiline_High_9hr_Single	methylene_dianiline	9 hr	High	Single	Edema
Liver_methylene_dianiline_High_9hr_Single	methylene_dianiline	9 hr	High	Single	Dilatation
Liver_methylene_dianiline_High_9hr_Single	methylene_dianiline	9 hr	High	Single	Hemorrhage
Liver_methylene_dianiline_Low_9hr_Single	methylene_dianiline	9 hr	Low	Single	Necrosis
Liver_methylene_dianiline_Low_9hr_Single	methylene_dianiline	9 hr	Low	Single	Cellular.infiltration
Liver_methylene_dianiline_Low_9hr_Single	methylene_dianiline	9 hr	Low	Single	Edema
Liver_methylene_dianiline_Low_9hr_Single	methylene_dianiline	9 hr	Low	Single	Dilatation
Liver_methylene_dianiline_Middle_24hr_Single	methylene_dianiline	24 hr	Middle	Single	Necrosis
Liver_methylene_dianiline_Middle_24hr_Single	methylene_dianiline	24 hr	Middle	Single	Hypertrophy
Liver_methylene_dianiline_Middle_24hr_Single	methylene_dianiline	24 hr	Middle	Single	Cellular.infiltration
Liver_methylene_dianiline_Middle_24hr_Single	methylene_dianiline	24 hr	Middle	Single	Edema
Liver_methylene_dianiline_Middle_24hr_Single	methylene_dianiline	24 hr	Middle	Single	Dilatation
Liver_methylene_dianiline_Middle_24hr_Single	methylene_dianiline	24 hr	Middle	Single	Hemorrhage
Liver_methylene_dianiline_Middle_3hr_Single	methylene_dianiline	3 hr	Middle	Single	Necrosis
Liver_methylene_dianiline_Middle_3hr_Single	methylene_dianiline	3 hr	Middle	Single	Cellular.infiltration
Liver_methylene_dianiline_Middle_3hr_Single	methylene_dianiline	3 hr	Middle	Single	Edema
Liver_methylene_dianiline_Middle_3hr_Single	methylene_dianiline	3 hr	Middle	Single	Dilatation
Liver_methylene_dianiline_Middle_3hr_Single	methylene_dianiline	3 hr	Middle	Single	Hemorrhage
Liver_methylene_dianiline_Middle_4day_Repeat	methylene_dianiline	4 day	Middle	Repeat	Increased.mitosis
Liver_methylene_dianiline_Middle_4day_Repeat	methylene_dianiline	4 day	Middle	Repeat	Hypertrophy
Liver_methylene_dianiline_Middle_4day_Repeat	methylene_dianiline	4 day	Middle	Repeat	Proliferation..bile.duct
Liver_methylene_dianiline_Middle_4day_Repeat	methylene_dianiline	4 day	Middle	Repeat	Cellular.infiltration
Liver_methylene_dianiline_Middle_4day_Repeat	methylene_dianiline	4 day	Middle	Repeat	Change..eosinophilic
Liver_methylene_dianiline_Middle_6hr_Single	methylene_dianiline	6 hr	Middle	Single	Necrosis
Liver_methylene_dianiline_Middle_6hr_Single	methylene_dianiline	6 hr	Middle	Single	Cellular.infiltration
Liver_methylene_dianiline_Middle_6hr_Single	methylene_dianiline	6 hr	Middle	Single	Edema
Liver_methylene_dianiline_Middle_6hr_Single	methylene_dianiline	6 hr	Middle	Single	Dilatation
Liver_methylene_dianiline_Middle_6hr_Single	methylene_dianiline	6 hr	Middle	Single	Hemorrhage
Liver_methylene_dianiline_Middle_8day_Repeat	methylene_dianiline	8 day	Middle	Repeat	Proliferation..bile.duct
Liver_methylene_dianiline_Middle_9hr_Single	methylene_dianiline	9 hr	Middle	Single	Necrosis
Liver_methylene_dianiline_Middle_9hr_Single	methylene_dianiline	9 hr	Middle	Single	Cellular.infiltration
Liver_methylene_dianiline_Middle_9hr_Single	methylene_dianiline	9 hr	Middle	Single	Edema
Liver_methylene_dianiline_Middle_9hr_Single	methylene_dianiline	9 hr	Middle	Single	Dilatation
Liver_methylene_dianiline_Middle_9hr_Single	methylene_dianiline	9 hr	Middle	Single	Hemorrhage
Liver_methyltestosterone_High_15day_Repeat	methyltestosterone	15 day	High	Repeat	Hypertrophy
Liver_methyltestosterone_High_24hr_Single	methyltestosterone	24 hr	High	Single	Increased.mitosis
Liver_methyltestosterone_High_24hr_Single	methyltestosterone	24 hr	High	Single	Hypertrophy
Liver_methyltestosterone_High_29day_Repeat	methyltestosterone	29 day	High	Repeat	Hypertrophy
Liver_methyltestosterone_Middle_24hr_Single	methyltestosterone	24 hr	Middle	Single	Increased.mitosis
Liver_mexiletine_High_15day_Repeat	mexiletine	15 day	High	Repeat	Hypertrophy
Liver_mexiletine_High_29day_Repeat	mexiletine	29 day	High	Repeat	Hypertrophy
Liver_monocrotaline_High_15day_Repeat	monocrotaline	15 day	High	Repeat	Necrosis
Liver_monocrotaline_High_15day_Repeat	monocrotaline	15 day	High	Repeat	Fibrosis
Liver_monocrotaline_High_15day_Repeat	monocrotaline	15 day	High	Repeat	Change..acidophilic
Liver_monocrotaline_High_15day_Repeat	monocrotaline	15 day	High	Repeat	Hypertrophy
Liver_monocrotaline_High_15day_Repeat	monocrotaline	15 day	High	Repeat	Cellular.infiltration
Liver_monocrotaline_High_15day_Repeat	monocrotaline	15 day	High	Repeat	DEAD
Liver_monocrotaline_High_15day_Repeat	monocrotaline	15 day	High	Repeat	Hemorrhage
Liver_monocrotaline_High_15day_Repeat	monocrotaline	15 day	High	Repeat	Deposit..hemosiderin
