treatment	chems	SIN_REP_TYPE	SACRI_PERIOD	DOSE_LEVEL	Out	Change
Liver_imipramine_High_15day_Repeat	imipramine	Repeat	15 day	High	PT.s.	Increase
Liver_imipramine_High_29day_Repeat	imipramine	Repeat	29 day	High	Fbg.mg.dL.	Increase
Liver_imipramine_High_29day_Repeat	imipramine	Repeat	29 day	High	GLC.mg.dL.	Decrease
Liver_imipramine_High_3hr_Single	imipramine	Single	3 hr	High	BUN.mg.dL.	Decrease
Liver_imipramine_High_4day_Repeat	imipramine	Repeat	4 day	High	RBC.x10_4.ul.	Increase
Liver_imipramine_High_4day_Repeat	imipramine	Repeat	4 day	High	Ca.mg.dL.	Decrease
Liver_imipramine_High_4day_Repeat	imipramine	Repeat	4 day	High	RALB.g.dL.	Decrease
Liver_imipramine_High_4day_Repeat	imipramine	Repeat	4 day	High	Ht...	Increase
Liver_imipramine_High_6hr_Single	imipramine	Single	6 hr	High	BUN.mg.dL.	Decrease
Liver_imipramine_High_6hr_Single	imipramine	Single	6 hr	High	Na.meq.L.	Increase
Liver_imipramine_High_8day_Repeat	imipramine	Repeat	8 day	High	RALB.g.dL.	Decrease
Liver_imipramine_High_8day_Repeat	imipramine	Repeat	8 day	High	Ret...	Decrease
Liver_imipramine_High_8day_Repeat	imipramine	Repeat	8 day	High	TG.mg.dL.	Decrease
Liver_imipramine_High_8day_Repeat	imipramine	Repeat	8 day	High	RBC.x10_4.ul.	Increase
Liver_imipramine_High_8day_Repeat	imipramine	Repeat	8 day	High	TERMINAL_BW.g.	Decrease
Liver_imipramine_High_8day_Repeat	imipramine	Repeat	8 day	High	LIVER.g.	Decrease
Liver_imipramine_High_8day_Repeat	imipramine	Repeat	8 day	High	PT.s.	Increase
Liver_imipramine_Low_3hr_Single	imipramine	Single	3 hr	Low	MCHC...	Decrease
Liver_imipramine_Middle_15day_Repeat	imipramine	Repeat	15 day	Middle	A.G	Decrease
Liver_imipramine_Middle_15day_Repeat	imipramine	Repeat	15 day	Middle	BUN.mg.dL.	Decrease
Liver_imipramine_Middle_4day_Repeat	imipramine	Repeat	4 day	Middle	PT.s.	Increase
Liver_imipramine_Middle_8day_Repeat	imipramine	Repeat	8 day	Middle	RALB.g.dL.	Decrease
Liver_imipramine_Middle_9hr_Single	imipramine	Single	9 hr	Middle	BUN.mg.dL.	Decrease
Liver_indomethacin_Control_24hr_Single	indomethacin	Single	24 hr	Control	TERMINAL_BW.g.	Increase
Liver_indomethacin_Control_29day_Repeat	indomethacin	Repeat	29 day	Control	Neu...	Decrease
Liver_indomethacin_Control_29day_Repeat	indomethacin	Repeat	29 day	Control	RALB.g.dL.	Increase
Liver_indomethacin_Control_3hr_Single	indomethacin	Single	3 hr	Control	MCHC...	Increase
Liver_indomethacin_Control_4day_Repeat	indomethacin	Repeat	4 day	Control	CRE.mg.dL.	Increase
Liver_indomethacin_Control_6hr_Single	indomethacin	Single	6 hr	Control	MCHC...	Increase
Liver_indomethacin_Control_9hr_Single	indomethacin	Single	9 hr	Control	MCHC...	Increase
Liver_indomethacin_High_15day_Repeat	indomethacin	Repeat	15 day	High	BUN.mg.dL.	Increase
Liver_indomethacin_High_15day_Repeat	indomethacin	Repeat	15 day	High	Ht...	Decrease
Liver_indomethacin_High_15day_Repeat	indomethacin	Repeat	15 day	High	Hb.g.dL.	Decrease
Liver_indomethacin_High_15day_Repeat	indomethacin	Repeat	15 day	High	GTP.IU.L.	Increase
Liver_indomethacin_High_15day_Repeat	indomethacin	Repeat	15 day	High	IP.mg.dL.	Increase
Liver_indomethacin_High_15day_Repeat	indomethacin	Repeat	15 day	High	Ret...	Increase
Liver_indomethacin_High_15day_Repeat	indomethacin	Repeat	15 day	High	RBC.x10_4.ul.	Decrease
Liver_indomethacin_High_15day_Repeat	indomethacin	Repeat	15 day	High	ALT.IU.L.	Decrease
Liver_indomethacin_High_24hr_Single	indomethacin	Single	24 hr	High	Plat.x10_4.uL.	Decrease
Liver_indomethacin_High_24hr_Single	indomethacin	Single	24 hr	High	RALB.g.dL.	Decrease
Liver_indomethacin_High_24hr_Single	indomethacin	Single	24 hr	High	ALP.IU.L.	Decrease
Liver_indomethacin_High_24hr_Single	indomethacin	Single	24 hr	High	TP.g.dL.	Decrease
Liver_indomethacin_High_24hr_Single	indomethacin	Single	24 hr	High	AST.IU.L.	Decrease
Liver_indomethacin_High_24hr_Single	indomethacin	Single	24 hr	High	Ca.mg.dL.	Decrease
Liver_indomethacin_High_24hr_Single	indomethacin	Single	24 hr	High	RBC.x10_4.ul.	Decrease
Liver_indomethacin_High_24hr_Single	indomethacin	Single	24 hr	High	Ht...	Decrease
Liver_indomethacin_High_24hr_Single	indomethacin	Single	24 hr	High	Hb.g.dL.	Decrease
Liver_indomethacin_High_3hr_Single	indomethacin	Single	3 hr	High	MCHC...	Increase
Liver_indomethacin_High_4day_Repeat	indomethacin	Repeat	4 day	High	Plat.x10_4.uL.	Decrease
Liver_indomethacin_High_6hr_Single	indomethacin	Single	6 hr	High	MCHC...	Increase
Liver_indomethacin_High_8day_Repeat	indomethacin	Repeat	8 day	High	Ret...	Increase
Liver_indomethacin_High_8day_Repeat	indomethacin	Repeat	8 day	High	Fbg.mg.dL.	Increase
Liver_indomethacin_High_8day_Repeat	indomethacin	Repeat	8 day	High	ALT.IU.L.	Decrease
Liver_indomethacin_High_9hr_Single	indomethacin	Single	9 hr	High	MCHC...	Increase
Liver_indomethacin_Low_3hr_Single	indomethacin	Single	3 hr	Low	MCHC...	Increase
Liver_indomethacin_Low_6hr_Single	indomethacin	Single	6 hr	Low	MCHC...	Increase
Liver_indomethacin_Low_9hr_Single	indomethacin	Single	9 hr	Low	MCHC...	Increase
Liver_indomethacin_Middle_24hr_Single	indomethacin	Single	24 hr	Middle	TP.g.dL.	Decrease
Liver_indomethacin_Middle_24hr_Single	indomethacin	Single	24 hr	Middle	Ca.mg.dL.	Decrease
Liver_indomethacin_Middle_24hr_Single	indomethacin	Single	24 hr	Middle	ALP.IU.L.	Decrease
Liver_indomethacin_Middle_24hr_Single	indomethacin	Single	24 hr	Middle	Neu...	Increase
Liver_indomethacin_Middle_24hr_Single	indomethacin	Single	24 hr	Middle	Ht...	Decrease
Liver_indomethacin_Middle_24hr_Single	indomethacin	Single	24 hr	Middle	RBC.x10_4.ul.	Decrease
Liver_indomethacin_Middle_24hr_Single	indomethacin	Single	24 hr	Middle	Hb.g.dL.	Decrease
Liver_indomethacin_Middle_29day_Repeat	indomethacin	Repeat	29 day	Middle	RALB.g.dL.	Increase
Liver_indomethacin_Middle_29day_Repeat	indomethacin	Repeat	29 day	Middle	TP.g.dL.	Increase
Liver_indomethacin_Middle_3hr_Single	indomethacin	Single	3 hr	Middle	MCHC...	Increase
Liver_indomethacin_Middle_6hr_Single	indomethacin	Single	6 hr	Middle	MCHC...	Increase
Liver_indomethacin_Middle_9hr_Single	indomethacin	Single	9 hr	Middle	MCHC...	Increase
Liver_iproniazid_High_15day_Repeat	iproniazid	Repeat	15 day	High	RBC.x10_4.ul.	Decrease
Liver_iproniazid_High_15day_Repeat	iproniazid	Repeat	15 day	High	Ret...	Increase
Liver_iproniazid_High_15day_Repeat	iproniazid	Repeat	15 day	High	MCV.fL.	Increase
Liver_iproniazid_High_15day_Repeat	iproniazid	Repeat	15 day	High	Ht...	Decrease
Liver_iproniazid_High_15day_Repeat	iproniazid	Repeat	15 day	High	MCHC...	Decrease
Liver_iproniazid_High_15day_Repeat	iproniazid	Repeat	15 day	High	Hb.g.dL.	Decrease
Liver_iproniazid_High_29day_Repeat	iproniazid	Repeat	29 day	High	MCH.pg.	Increase
Liver_iproniazid_High_29day_Repeat	iproniazid	Repeat	29 day	High	Ret...	Increase
Liver_iproniazid_High_29day_Repeat	iproniazid	Repeat	29 day	High	RBC.x10_4.ul.	Decrease
Liver_iproniazid_High_29day_Repeat	iproniazid	Repeat	29 day	High	Hb.g.dL.	Decrease
Liver_iproniazid_High_29day_Repeat	iproniazid	Repeat	29 day	High	MCV.fL.	Increase
Liver_iproniazid_High_29day_Repeat	iproniazid	Repeat	29 day	High	Ht...	Decrease
Liver_iproniazid_High_4day_Repeat	iproniazid	Repeat	4 day	High	PT.s.	Increase
Liver_iproniazid_High_4day_Repeat	iproniazid	Repeat	4 day	High	TERMINAL_BW.g.	Decrease
Liver_iproniazid_High_4day_Repeat	iproniazid	Repeat	4 day	High	LIVER.g.	Decrease
Liver_iproniazid_High_8day_Repeat	iproniazid	Repeat	8 day	High	Hb.g.dL.	Decrease
Liver_iproniazid_High_8day_Repeat	iproniazid	Repeat	8 day	High	TERMINAL_BW.g.	Decrease
Liver_iproniazid_High_8day_Repeat	iproniazid	Repeat	8 day	High	Ht...	Decrease
Liver_iproniazid_High_8day_Repeat	iproniazid	Repeat	8 day	High	LIVER.g.	Decrease
Liver_iproniazid_High_9hr_Single	iproniazid	Single	9 hr	High	MCV.fL.	Decrease
Liver_iproniazid_Middle_8day_Repeat	iproniazid	Repeat	8 day	Middle	LIVER.g.	Decrease
Liver_iproniazid_Middle_8day_Repeat	iproniazid	Repeat	8 day	Middle	MCV.fL.	Decrease
Liver_isoniazid_Control_24hr_Single	isoniazid	Single	24 hr	Control	MCHC...	Increase
Liver_isoniazid_Control_4day_Repeat	isoniazid	Repeat	4 day	Control	Eos...	Increase
Liver_isoniazid_Control_8day_Repeat	isoniazid	Repeat	8 day	Control	APTT.s.	Decrease
Liver_isoniazid_Control_8day_Repeat	isoniazid	Repeat	8 day	Control	Mono...	Increase
Liver_isoniazid_High_15day_Repeat	isoniazid	Repeat	15 day	High	ALT.IU.L.	Decrease
Liver_isoniazid_High_24hr_Single	isoniazid	Single	24 hr	High	Ret...	Decrease
Liver_isoniazid_High_24hr_Single	isoniazid	Single	24 hr	High	AST.IU.L.	Decrease
Liver_isoniazid_High_24hr_Single	isoniazid	Single	24 hr	High	WBC.x10_2.uL.	Decrease
Liver_isoniazid_High_24hr_Single	isoniazid	Single	24 hr	High	Plat.x10_4.uL.	Increase
Liver_isoniazid_High_24hr_Single	isoniazid	Single	24 hr	High	MCHC...	Increase
Liver_isoniazid_High_24hr_Single	isoniazid	Single	24 hr	High	ALT.IU.L.	Decrease
Liver_isoniazid_High_29day_Repeat	isoniazid	Repeat	29 day	High	MCH.pg.	Decrease
Liver_isoniazid_High_29day_Repeat	isoniazid	Repeat	29 day	High	MCV.fL.	Decrease
Liver_isoniazid_High_29day_Repeat	isoniazid	Repeat	29 day	High	ALT.IU.L.	Decrease
Liver_isoniazid_High_3hr_Single	isoniazid	Single	3 hr	High	MCHC...	Increase
Liver_isoniazid_High_3hr_Single	isoniazid	Single	3 hr	High	BUN.mg.dL.	Decrease
Liver_isoniazid_High_4day_Repeat	isoniazid	Repeat	4 day	High	ALT.IU.L.	Decrease
Liver_isoniazid_High_4day_Repeat	isoniazid	Repeat	4 day	High	AST.IU.L.	Decrease
Liver_isoniazid_High_6hr_Single	isoniazid	Single	6 hr	High	AST.IU.L.	Decrease
Liver_isoniazid_High_6hr_Single	isoniazid	Single	6 hr	High	TP.g.dL.	Increase
Liver_isoniazid_High_8day_Repeat	isoniazid	Repeat	8 day	High	ALT.IU.L.	Decrease
Liver_isoniazid_High_8day_Repeat	isoniazid	Repeat	8 day	High	AST.IU.L.	Decrease
Liver_isoniazid_High_9hr_Single	isoniazid	Single	9 hr	High	MCHC...	Increase
Liver_isoniazid_High_9hr_Single	isoniazid	Single	9 hr	High	AST.IU.L.	Decrease
Liver_isoniazid_Low_15day_Repeat	isoniazid	Repeat	15 day	Low	ALT.IU.L.	Decrease
Liver_isoniazid_Low_15day_Repeat	isoniazid	Repeat	15 day	Low	K.meq.L.	Increase
Liver_isoniazid_Low_29day_Repeat	isoniazid	Repeat	29 day	Low	ALT.IU.L.	Decrease
Liver_isoniazid_Low_4day_Repeat	isoniazid	Repeat	4 day	Low	ALT.IU.L.	Decrease
Liver_isoniazid_Low_4day_Repeat	isoniazid	Repeat	4 day	Low	GLC.mg.dL.	Increase
Liver_isoniazid_Low_8day_Repeat	isoniazid	Repeat	8 day	Low	ALT.IU.L.	Decrease
Liver_isoniazid_Low_9hr_Single	isoniazid	Single	9 hr	Low	AST.IU.L.	Decrease
Liver_isoniazid_Low_9hr_Single	isoniazid	Single	9 hr	Low	MCHC...	Increase
Liver_isoniazid_Middle_15day_Repeat	isoniazid	Repeat	15 day	Middle	ALT.IU.L.	Decrease
Liver_isoniazid_Middle_24hr_Single	isoniazid	Single	24 hr	Middle	MCHC...	Increase
Liver_isoniazid_Middle_24hr_Single	isoniazid	Single	24 hr	Middle	Ret...	Decrease
Liver_isoniazid_Middle_24hr_Single	isoniazid	Single	24 hr	Middle	AST.IU.L.	Decrease
Liver_isoniazid_Middle_24hr_Single	isoniazid	Single	24 hr	Middle	ALT.IU.L.	Decrease
Liver_isoniazid_Middle_29day_Repeat	isoniazid	Repeat	29 day	Middle	ALT.IU.L.	Decrease
Liver_isoniazid_Middle_3hr_Single	isoniazid	Single	3 hr	Middle	MCHC...	Increase
Liver_isoniazid_Middle_4day_Repeat	isoniazid	Repeat	4 day	Middle	ALT.IU.L.	Decrease
Liver_isoniazid_Middle_6hr_Single	isoniazid	Single	6 hr	Middle	AST.IU.L.	Decrease
Liver_isoniazid_Middle_8day_Repeat	isoniazid	Repeat	8 day	Middle	ALT.IU.L.	Decrease
Liver_isoniazid_Middle_9hr_Single	isoniazid	Single	9 hr	Middle	AST.IU.L.	Decrease
Liver_isoniazid_Middle_9hr_Single	isoniazid	Single	9 hr	Middle	MCHC...	Increase
Liver_ketoconazole_Control_4day_Repeat	ketoconazole	Repeat	4 day	Control	IP.mg.dL.	Decrease
Liver_ketoconazole_Control_8day_Repeat	ketoconazole	Repeat	8 day	Control	Plat.x10_4.uL.	Decrease
Liver_ketoconazole_High_29day_Repeat	ketoconazole	Repeat	29 day	High	CRE.mg.dL.	Decrease
Liver_ketoconazole_High_3hr_Single	ketoconazole	Single	3 hr	High	PT.s.	Increase
Liver_ketoconazole_High_9hr_Single	ketoconazole	Single	9 hr	High	PT.s.	Increase
Liver_ketoconazole_Low_3hr_Single	ketoconazole	Single	3 hr	Low	PT.s.	Increase
Liver_ketoconazole_Low_3hr_Single	ketoconazole	Single	3 hr	Low	IP.mg.dL.	Decrease
Liver_ketoconazole_Middle_3hr_Single	ketoconazole	Single	3 hr	Middle	PT.s.	Increase
Liver_ketoconazole_Middle_9hr_Single	ketoconazole	Single	9 hr	Middle	PT.s.	Increase
Liver_labetalol_High_15day_Repeat	labetalol	Repeat	15 day	High	Na.meq.L.	Increase
Liver_labetalol_High_24hr_Single	labetalol	Single	24 hr	High	LDH.IU.L.	Decrease
Liver_labetalol_High_29day_Repeat	labetalol	Repeat	29 day	High	LDH.IU.L.	Decrease
Liver_labetalol_High_29day_Repeat	labetalol	Repeat	29 day	High	Ret...	Decrease
Liver_labetalol_High_29day_Repeat	labetalol	Repeat	29 day	High	Plat.x10_4.uL.	Decrease
Liver_labetalol_High_3hr_Single	labetalol	Single	3 hr	High	Hb.g.dL.	Decrease
Liver_labetalol_High_3hr_Single	labetalol	Single	3 hr	High	Ht...	Decrease
Liver_labetalol_High_4day_Repeat	labetalol	Repeat	4 day	High	LDH.IU.L.	Decrease
Liver_labetalol_High_6hr_Single	labetalol	Single	6 hr	High	Ht...	Decrease
Liver_labetalol_High_6hr_Single	labetalol	Single	6 hr	High	RBC.x10_4.ul.	Decrease
Liver_labetalol_High_9hr_Single	labetalol	Single	9 hr	High	Cl.meq.L.	Increase
Liver_labetalol_High_9hr_Single	labetalol	Single	9 hr	High	LDH.IU.L.	Decrease
Liver_labetalol_Low_15day_Repeat	labetalol	Repeat	15 day	Low	TERMINAL_BW.g.	Increase
Liver_labetalol_Low_4day_Repeat	labetalol	Repeat	4 day	Low	TERMINAL_BW.g.	Increase
Liver_labetalol_Low_6hr_Single	labetalol	Single	6 hr	Low	LDH.IU.L.	Decrease
Liver_labetalol_Low_8day_Repeat	labetalol	Repeat	8 day	Low	TERMINAL_BW.g.	Increase
Liver_labetalol_Middle_15day_Repeat	labetalol	Repeat	15 day	Middle	Na.meq.L.	Increase
Liver_labetalol_Middle_24hr_Single	labetalol	Single	24 hr	Middle	Fbg.mg.dL.	Increase
Liver_labetalol_Middle_3hr_Single	labetalol	Single	3 hr	Middle	LDH.IU.L.	Decrease
Liver_labetalol_Middle_6hr_Single	labetalol	Single	6 hr	Middle	LDH.IU.L.	Decrease
Liver_labetalol_Middle_8day_Repeat	labetalol	Repeat	8 day	Middle	TERMINAL_BW.g.	Increase
Liver_labetalol_Middle_9hr_Single	labetalol	Single	9 hr	Middle	Na.meq.L.	Increase
Liver_labetalol_Middle_9hr_Single	labetalol	Single	9 hr	Middle	LDH.IU.L.	Decrease
Liver_labetalol_Middle_9hr_Single	labetalol	Single	9 hr	Middle	Cl.meq.L.	Increase
Liver_lomustine_Control_3hr_Single	lomustine	Single	3 hr	Control	PT.s.	Decrease
Liver_lomustine_High_15day_Repeat	lomustine	Repeat	15 day	High	AST.IU.L.	Increase
Liver_lomustine_High_15day_Repeat	lomustine	Repeat	15 day	High	Ret...	Decrease
Liver_lomustine_High_15day_Repeat	lomustine	Repeat	15 day	High	GTP.IU.L.	Increase
Liver_lomustine_High_15day_Repeat	lomustine	Repeat	15 day	High	TC.mg.dL.	Increase
Liver_lomustine_High_15day_Repeat	lomustine	Repeat	15 day	High	TERMINAL_BW.g.	Decrease
Liver_lomustine_High_15day_Repeat	lomustine	Repeat	15 day	High	ALT.IU.L.	Increase
Liver_lomustine_High_15day_Repeat	lomustine	Repeat	15 day	High	PL.mg.dL.	Increase
Liver_lomustine_High_15day_Repeat	lomustine	Repeat	15 day	High	DBIL.mg.dL.	Increase
Liver_lomustine_High_15day_Repeat	lomustine	Repeat	15 day	High	Mono...	Increase
Liver_lomustine_High_29day_Repeat	lomustine	Repeat	29 day	High	TC.mg.dL.	Increase
Liver_lomustine_High_29day_Repeat	lomustine	Repeat	29 day	High	PL.mg.dL.	Increase
Liver_lomustine_High_29day_Repeat	lomustine	Repeat	29 day	High	BUN.mg.dL.	Increase
Liver_lomustine_High_29day_Repeat	lomustine	Repeat	29 day	High	Mono...	Increase
Liver_lomustine_High_29day_Repeat	lomustine	Repeat	29 day	High	Lym...	Decrease
Liver_lomustine_High_29day_Repeat	lomustine	Repeat	29 day	High	TERMINAL_BW.g.	Decrease
Liver_lomustine_High_29day_Repeat	lomustine	Repeat	29 day	High	GLC.mg.dL.	Decrease
Liver_lomustine_High_29day_Repeat	lomustine	Repeat	29 day	High	ALT.IU.L.	Increase
Liver_lomustine_High_29day_Repeat	lomustine	Repeat	29 day	High	TBIL.mg.dL.	Increase
Liver_lomustine_High_29day_Repeat	lomustine	Repeat	29 day	High	LDH.IU.L.	Increase
Liver_lomustine_High_29day_Repeat	lomustine	Repeat	29 day	High	AST.IU.L.	Increase
Liver_lomustine_High_29day_Repeat	lomustine	Repeat	29 day	High	GTP.IU.L.	Increase
Liver_lomustine_High_29day_Repeat	lomustine	Repeat	29 day	High	DBIL.mg.dL.	Increase
Liver_lomustine_High_3hr_Single	lomustine	Single	3 hr	High	PT.s.	Decrease
Liver_lomustine_Low_3hr_Single	lomustine	Single	3 hr	Low	PT.s.	Decrease
Liver_lomustine_Low_9hr_Single	lomustine	Single	9 hr	Low	GTP.IU.L.	Increase
Liver_lornoxicam_Control_24hr_Single	lornoxicam	Single	24 hr	Control	GLC.mg.dL.	Increase
Liver_lornoxicam_Control_4day_Repeat	lornoxicam	Repeat	4 day	Control	GLC.mg.dL.	Increase
Liver_lornoxicam_Control_9hr_Single	lornoxicam	Single	9 hr	Control	WBC.x10_2.uL.	Increase
Liver_lornoxicam_High_15day_Repeat	lornoxicam	Repeat	15 day	High	MCHC...	Decrease
Liver_lornoxicam_High_15day_Repeat	lornoxicam	Repeat	15 day	High	Neu...	Increase
Liver_lornoxicam_High_15day_Repeat	lornoxicam	Repeat	15 day	High	WBC.x10_2.uL.	Increase
Liver_lornoxicam_High_15day_Repeat	lornoxicam	Repeat	15 day	High	RBC.x10_4.ul.	Decrease
Liver_lornoxicam_High_15day_Repeat	lornoxicam	Repeat	15 day	High	ALP.IU.L.	Decrease
Liver_lornoxicam_High_15day_Repeat	lornoxicam	Repeat	15 day	High	Ret...	Increase
Liver_lornoxicam_High_15day_Repeat	lornoxicam	Repeat	15 day	High	Hb.g.dL.	Decrease
Liver_lornoxicam_High_15day_Repeat	lornoxicam	Repeat	15 day	High	Plat.x10_4.uL.	Increase
Liver_lornoxicam_High_15day_Repeat	lornoxicam	Repeat	15 day	High	Ht...	Decrease
Liver_lornoxicam_High_15day_Repeat	lornoxicam	Repeat	15 day	High	Lym...	Decrease
Liver_lornoxicam_High_24hr_Single	lornoxicam	Single	24 hr	High	WBC.x10_2.uL.	Increase
Liver_lornoxicam_High_24hr_Single	lornoxicam	Single	24 hr	High	Neu...	Increase
Liver_lornoxicam_High_24hr_Single	lornoxicam	Single	24 hr	High	Lym...	Decrease
Liver_lornoxicam_High_4day_Repeat	lornoxicam	Repeat	4 day	High	Lym...	Decrease
Liver_lornoxicam_High_4day_Repeat	lornoxicam	Repeat	4 day	High	Fbg.mg.dL.	Increase
Liver_lornoxicam_High_4day_Repeat	lornoxicam	Repeat	4 day	High	TP.g.dL.	Decrease
Liver_lornoxicam_High_4day_Repeat	lornoxicam	Repeat	4 day	High	ALP.IU.L.	Decrease
Liver_lornoxicam_High_4day_Repeat	lornoxicam	Repeat	4 day	High	Ht...	Decrease
Liver_lornoxicam_High_4day_Repeat	lornoxicam	Repeat	4 day	High	RBC.x10_4.ul.	Decrease
Liver_lornoxicam_High_4day_Repeat	lornoxicam	Repeat	4 day	High	RALB.g.dL.	Decrease
Liver_lornoxicam_High_4day_Repeat	lornoxicam	Repeat	4 day	High	Hb.g.dL.	Decrease
Liver_lornoxicam_High_8day_Repeat	lornoxicam	Repeat	8 day	High	RBC.x10_4.ul.	Decrease
Liver_lornoxicam_High_8day_Repeat	lornoxicam	Repeat	8 day	High	BUN.mg.dL.	Decrease
Liver_lornoxicam_High_8day_Repeat	lornoxicam	Repeat	8 day	High	PT.s.	Decrease
Liver_lornoxicam_High_8day_Repeat	lornoxicam	Repeat	8 day	High	Neu...	Increase
Liver_lornoxicam_High_8day_Repeat	lornoxicam	Repeat	8 day	High	Plat.x10_4.uL.	Increase
Liver_lornoxicam_High_8day_Repeat	lornoxicam	Repeat	8 day	High	Ht...	Decrease
Liver_lornoxicam_High_8day_Repeat	lornoxicam	Repeat	8 day	High	Lym...	Decrease
Liver_lornoxicam_High_8day_Repeat	lornoxicam	Repeat	8 day	High	ALP.IU.L.	Decrease
Liver_lornoxicam_High_8day_Repeat	lornoxicam	Repeat	8 day	High	ALT.IU.L.	Decrease
Liver_lornoxicam_High_8day_Repeat	lornoxicam	Repeat	8 day	High	RALB.g.dL.	Decrease
Liver_lornoxicam_High_8day_Repeat	lornoxicam	Repeat	8 day	High	WBC.x10_2.uL.	Increase
Liver_lornoxicam_High_8day_Repeat	lornoxicam	Repeat	8 day	High	Hb.g.dL.	Decrease
Liver_LPS_High_24hr_Single	LPS	Single	24 hr	High	RALB.g.dL.	Decrease
Liver_LPS_High_24hr_Single	LPS	Single	24 hr	High	AST.IU.L.	Increase
Liver_LPS_High_24hr_Single	LPS	Single	24 hr	High	Plat.x10_4.uL.	Decrease
Liver_LPS_High_24hr_Single	LPS	Single	24 hr	High	BUN.mg.dL.	Increase
Liver_LPS_High_24hr_Single	LPS	Single	24 hr	High	GTP.IU.L.	Increase
Liver_LPS_High_24hr_Single	LPS	Single	24 hr	High	Neu...	Increase
Liver_LPS_High_24hr_Single	LPS	Single	24 hr	High	GLC.mg.dL.	Decrease
Liver_LPS_High_24hr_Single	LPS	Single	24 hr	High	ALT.IU.L.	Increase
Liver_LPS_High_3hr_Single	LPS	Single	3 hr	High	TP.g.dL.	Decrease
Liver_LPS_High_3hr_Single	LPS	Single	3 hr	High	RALB.g.dL.	Decrease
Liver_LPS_High_3hr_Single	LPS	Single	3 hr	High	Ca.mg.dL.	Decrease
Liver_LPS_High_3hr_Single	LPS	Single	3 hr	High	Plat.x10_4.uL.	Decrease
Liver_LPS_High_3hr_Single	LPS	Single	3 hr	High	AST.IU.L.	Increase
Liver_LPS_High_3hr_Single	LPS	Single	3 hr	High	Fbg.mg.dL.	Decrease
Liver_LPS_High_3hr_Single	LPS	Single	3 hr	High	GLC.mg.dL.	Decrease
Liver_LPS_High_3hr_Single	LPS	Single	3 hr	High	PT.s.	Increase
Liver_LPS_High_3hr_Single	LPS	Single	3 hr	High	Neu...	Increase
Liver_LPS_High_6hr_Single	LPS	Single	6 hr	High	DBIL.mg.dL.	Increase
Liver_LPS_High_6hr_Single	LPS	Single	6 hr	High	GTP.IU.L.	Increase
Liver_LPS_High_6hr_Single	LPS	Single	6 hr	High	LDH.IU.L.	Increase
Liver_LPS_High_6hr_Single	LPS	Single	6 hr	High	TP.g.dL.	Decrease
Liver_LPS_High_6hr_Single	LPS	Single	6 hr	High	WBC.x10_2.uL.	Decrease
Liver_LPS_High_6hr_Single	LPS	Single	6 hr	High	RALB.g.dL.	Decrease
Liver_LPS_High_6hr_Single	LPS	Single	6 hr	High	Ca.mg.dL.	Decrease
Liver_LPS_High_6hr_Single	LPS	Single	6 hr	High	PT.s.	Increase
Liver_LPS_High_6hr_Single	LPS	Single	6 hr	High	ALT.IU.L.	Increase
Liver_LPS_High_6hr_Single	LPS	Single	6 hr	High	AST.IU.L.	Increase
Liver_LPS_High_6hr_Single	LPS	Single	6 hr	High	APTT.s.	Increase
Liver_LPS_High_6hr_Single	LPS	Single	6 hr	High	Plat.x10_4.uL.	Decrease
Liver_LPS_High_6hr_Single	LPS	Single	6 hr	High	Fbg.mg.dL.	Decrease
Liver_LPS_High_6hr_Single	LPS	Single	6 hr	High	GLC.mg.dL.	Decrease
Liver_LPS_High_6hr_Single	LPS	Single	6 hr	High	BUN.mg.dL.	Increase
Liver_LPS_High_9hr_Single	LPS	Single	9 hr	High	BUN.mg.dL.	Increase
Liver_LPS_High_9hr_Single	LPS	Single	9 hr	High	Ca.mg.dL.	Decrease
Liver_LPS_High_9hr_Single	LPS	Single	9 hr	High	TP.g.dL.	Decrease
Liver_LPS_High_9hr_Single	LPS	Single	9 hr	High	LDH.IU.L.	Increase
Liver_LPS_High_9hr_Single	LPS	Single	9 hr	High	Plat.x10_4.uL.	Decrease
Liver_LPS_High_9hr_Single	LPS	Single	9 hr	High	PT.s.	Increase
Liver_LPS_High_9hr_Single	LPS	Single	9 hr	High	Fbg.mg.dL.	Decrease
Liver_LPS_High_9hr_Single	LPS	Single	9 hr	High	TC.mg.dL.	Increase
Liver_LPS_High_9hr_Single	LPS	Single	9 hr	High	ALT.IU.L.	Increase
Liver_LPS_High_9hr_Single	LPS	Single	9 hr	High	DBIL.mg.dL.	Increase
Liver_LPS_High_9hr_Single	LPS	Single	9 hr	High	RALB.g.dL.	Decrease
Liver_LPS_High_9hr_Single	LPS	Single	9 hr	High	AST.IU.L.	Increase
Liver_LPS_High_9hr_Single	LPS	Single	9 hr	High	GTP.IU.L.	Increase
Liver_LPS_High_9hr_Single	LPS	Single	9 hr	High	GLC.mg.dL.	Decrease
Liver_LPS_Low_24hr_Single	LPS	Single	24 hr	Low	Plat.x10_4.uL.	Decrease
Liver_LPS_Low_24hr_Single	LPS	Single	24 hr	Low	Fbg.mg.dL.	Increase
Liver_LPS_Low_3hr_Single	LPS	Single	3 hr	Low	GLC.mg.dL.	Decrease
Liver_LPS_Low_6hr_Single	LPS	Single	6 hr	Low	Plat.x10_4.uL.	Decrease
